ID,Language_ID,Language_Name,Source
402,gadd1244,Gaddang,
403,galo1243,Galoli,
404,helo1243,Helong,
405,hili1240,Hiligaynon,
406,hiww1237,Hiw,
407,idaa1241,Ida'an,
408,ilok1237,Iloko,
409,indo1317,Indonesian Bajau,
410,inon1237,Inonhan,
411,irar1238,Irarutu,
412,ivat1242,Itbayat,
413,jamb1236,Jambi Malay,
414,java1254,Javanese,
415,kaga1255,Kagan Kalagan,
416,kaga1256,Kagayanen,
417,kamb1299,Kambera,
418,kana1286,Kanakanavu,
419,kapr1245,Kapriman,
420,kemb1249,Mateq,
421,keri1250,Kerinci,
422,komo1261,Komodo,
423,kove1237,Kove,
424,kupa1239,Kupang Malay,
425,laiy1246,Laiyolo,
426,lala1268,Lala,
427,lama1277,Lamaholot,
428,lamp1242,Lampung Nyo,
429,lamp1243,Lampung Api,
430,lari1255,Larike-Wakasihu,
431,leti1246,Leti,
432,lewo1244,Lewotobi,
433,lund1271,Lun Dayeh,
434,maka1311,Makasar,
435,mama1276,Mamasa,
436,mans1262,Mansaka,
437,mara1404,Maranao,
438,mati1250,Matigsalug Manobo,
439,maya1282,Misool-Salawati Ma'ya,
440,mini1251,Minigir,
441,molb1237,Molbog,
442,mort1237,Mortlockese,
443,muna1247,Muna,
444,nali1244,Nalik,
445,nang1262,Nanggu,
446,napu1241,Napu,
447,naue1237,Nauete,
448,neng1238,Nengone,
449,nese1235,Nese,
450,nucl1454,Yawa,
451,nucl1594,Mairasi,
452,pagu1249,Pagu,
453,pala1344,Palauan,
454,pamp1243,Pampanga,
455,pang1290,Pangasinan,
456,papu1250,Papuan Malay,
457,patt1249,Pattani Malay,
458,pend1242,Pendau,
459,pile1238,Vaeakau-Taumako,
460,puka1242,Pukapuka,
461,rata1244,Ratahan,
462,ruka1240,Rukai,
463,saar1237,Saaroa,
464,sahu1245,Sahu,
465,samo1305,Samoan,
466,sawi1256,Sawila,
467,sela1259,Selaru,
468,siwa1245,Motuna (Siwai),
469,sout2883,Southeast Babar,
470,sumb1241,Sumbawa,
471,sund1252,Sundanese,
472,tagb1258,Tagbanwa,
473,taji1246,Tajio,
474,teop1238,Teop,
475,tetu1245,Tetum,
476,tetu1246,Tetun Dili,
477,tido1248,Tidore,
478,timu1262,Timugon Murut,
479,tiri1258,Tiri-Mea,
480,toab1237,To'abaita,
481,tobe1252,Tobelo,
482,tobi1239,Tobilung,
483,tsou1248,Tsou,
484,tuam1242,Tuamotuan,
485,tugu1245,Tugun,
486,tuka1248,Tukang Besi North,
487,unua1237,Unua,
488,urak1238,Urak Lawoi',
489,vinm1237,Neve'ei,
490,vure1239,Vurës,
491,waim1252,Waima'a,
492,wamb1259,Wambon,
493,wand1267,Wandamen,
494,west2600,West Makian,
495,woli1241,Wolio,
496,wotu1240,Wotu,
497,wutu1244,Wutung,
498,yabe1254,Yabem,
499,yape1248,Yapese,
500,yaum1237,Yau,
501,yuag1237,Yuaga,
502,curr1243,Curripaco,
503,chim1302,Chimborazo Quichua,
504,sala1272,Salasaca Quichua,
505,east2652,Eastern Oromo,
506,furu1242,Furu,
507,mach1266,Machame,
508,argo1244,Argobba,
509,bamb1269,Bambara,
510,mori1278,Morisyen,
511,berb1259,Berbice Dutch,
512,huam1248,Huallaga (Huanuco) Quechua,
513,siam1242,Siamou,
514,sumb1240,Sumbwa,
515,amha1245,Amharic,
516,awng1244,Awngi,
517,chum1261,Chumburung,
518,cavi1250,Cavineña,
519,cham1318,Chamicuro,
520,kari1301,Karipúna Creole French,
521,kano1245,Kanoê,
522,mund1330,Mundurukú,
523,huay1240,Huaylas Ancash Quechua,
524,toba1269,Toba,
525,rapa1244,Rapanui,
526,abip1241,Abipon,
527,apal1257,Apalí,
528,apin1244,Apinayé,
529,ashe1272,Ashéninka Perené,
530,swah1253,Swahili,
533,arch1244,Archi,
535,duru1236,Parji,
536,mara1378,Marathi,
537,moro1292,Moroccan Arabic,
538,mait1255,Maithili,
539,kana1281,Kanauji,
540,puma1239,Puma,
542,pash1269,Pashto,
549,urdu1245,Urdu,
550,hind1269,Hindi,
551,dutc1256,Dutch,
552,yalu1240,Jalonke,
554,koya1253,Koyaga,
555,baga1272,Baga,
556,adam1253,Adamawa Fulfulde,
557,bare1276,Bare,
558,lamb1269,Lambadi,
559,saur1248,Saurashtra,
562,baur1253,Baure,
563,cabi1241,Kawiyari,
564,nort2980,Tarma Quechua,
565,libe1240,Liberian English,
566,bank1256,Bankon,
569,wehh1238,Weh,
572,lele1266,Lele,
573,zulu1248,Zulu,
574,fuli1240,Fuliiru,
